<--서울특별시 공사현황 주소-->
서울특별시 관악구 신림동 1570-5 매원빌딩 2층
서울특별시 성동구 용답동 246
서울특별시 영등포구 양화동 153-22
서울특별시 마포구 망원동 305-2
"서울특별시 강동구 암사동 501 8호선연장 1,2공구"
서울특별시 강동구 암사동 3
서울특별시 중구 초동 64-11
서울특별시 노원구 상계동 699
서울특별시 서대문구 남가좌동 295-18 시립서대문농아인복지관 별관
서울특별시 도봉구 창동 1-11
서울특별시 강남구 삼성동 111-8
서울특별시 송파구 풍납동 117-3
서울특별시 강남구 삼성동 162-25 동영빌딩 2층
서울특별시 금천구 가산동 319-7
서울특별시 서초구 우면동 141
서울특별시 광진구 자양동 57-153 일원
서울특별시 광진구 자양동 57-153
서울특별시 관악구 신림동 48
서울특별시 관악구 신림동 142
서울특별시 관악구 신림동 산 60
서울특별시 관악구 남현동 산 64 일대
서울특별시 서초구 사당천 일원
서울특별시 송파구 방이동 88 올림픽기념관 옆
서울특별시 서대문구 창천동 30-33
서울특별시 양천구 목동 42
서울특별시 양천구 신정동 321-4
서울특별시 강서구 화곡동 836-8
서울특별시 강서구 화곡동 379-68
서울특별시 강서구 화곡동 913-4
서울특별시 구로구 개봉동 24-2
"서울특별시 구로구 구로동 23 (구로동,고척동 일원)"
서울특별시 구로구 고척동 63-16
서울특별시 금천구 독산동 711-2
서울특별시 용산구 갈월동 98-8
서울특별시 영등포구 영등포동2가 466
서울특별시 은평구 진관동 76-40
서울특별시 강동구 고덕동 229
"서울특별시 동작구 사당동 318-10, 동작구관내 사당 1,3,4,5동일대"
서울특별시 강동구 명일동 333-8
서울특별시 도봉구 도봉동 1-28
서울특별시 도봉구 창동 1-28
서울특별시 양천구 신정동 922-1
서울특별시 서대문구 남가좌동 269-1 외 3필지
서울특별시 영등포구 여의도동 10-3
서울특별시 강북구 수유동 229-18 외 1필지
서울특별시 영등포구 여의도동 10-3
서울특별시 동대문구 전농동 620-15
서울특별시 강서구 마곡동 781-1
서울특별시 구로구 오류동 213-1 외 49필지
서울특별시 구로구 오류동 213-1 외 49필지
서울특별시 구로구 오류동 213-1 외 49필지
서울특별시 동작구 노량진동 54-1 외
서울특별시 강남구 도곡동 954-17
서울특별시 종로구 숭인동 1419-2
서울특별시 종로구 숭인동 1420
서울특별시 은평구 불광동 323-21 외 7필지
서울특별시 강남구 역삼동 651-2
서울특별시 송파구 잠실동 35
서울특별시 중랑구 상봉동 90-3 외 1필지
서울특별시 중구 필동1가 43-1
서울특별시 강남구 역삼동 653-4
서울특별시 마포구 신공덕동 26-17
서울특별시 금천구 가산동 326-4
서울특별시 동대문구 전농동 620-6외 2필지
서울특별시 동대문구 전농동 620-6
서울특별시 동대문구 전농동 620-6
서울특별시 동대문구 전농동 620-6
"서울특별시 송파구 방이동 28-3,28-4"
서울특별시 마포구 아현동 275-2
서울특별시 중구 묵정동 1-23번지 일원
서울특별시 중구 을지로5가 99
"서울특별시 성동구 성수동2가 260-1, 261번지"
"서울특별시 강동구 길동 413-16,413-17"
서울특별시 강남구 삼성동 167
